,artist_id,name,genre
1,1215,Acid Rain,chicago rap
2,1215,Acid Rain, conscious hip hop
3,1215,Acid Rain, hip hop
4,1215,Acid Rain, pop rap
5,1215,Acid Rain, rap
8,1269,Searchlight, modern rock
9,1269,Searchlight, neo mellow
10,1269,Searchlight, pop rock
11,1874,Carousel,alt z
12,1874,Carousel, electropop
13,1874,Carousel, pop
14,2602,Bad Blood,pop
16,1997,North Korea, pop rap
22,2016,Crack, hip hop
23,2016,Crack, rap
24,3089,Mercy,chicago rap
25,3089,Mercy, rap
27,1061,Legacy,atl hip hop
28,1061,Legacy, hip hop
29,1061,Legacy, pop rap
30,1061,Legacy, rap
31,1061,Legacy, southern hip hop
32,1061,Legacy, trap
34,2373,Overdrive, pop
35,737,Official,canadian pop
36,737,Official, contemporary r&b
37,737,Official, dance pop
38,737,Official, hip pop
39,737,Official, neo soul
40,737,Official, quiet storm
41,737,Official, r&b
42,737,Official, urban contemporary
43,140,Stigmata,modern alternative rock
44,140,Stigmata, modern rock
45,140,Stigmata, rock
47,2999,20/20, melodic rap
50,2160,Face Down, pop rock
51,2160,Face Down, screamo
53,3516,She Moves, modern rock
54,3516,She Moves, rock
55,357,Coward,adult standards
57,357,Coward, country
58,357,Coward, mellow gold
60,357,Coward, soft rock
62,1538,Strange Fruit,adult standards
64,1538,Strange Fruit, jazz
66,1538,Strange Fruit, lounge
67,1538,Strange Fruit, soul
69,1538,Strange Fruit, vocal jazz
72,1404,Broken Ones,edm
74,1404,Broken Ones, pop
75,1404,Broken Ones, pop dance
76,1404,Broken Ones, tropical house
77,1183,Koala,dance pop
78,1183,Koala, edm
79,1183,Koala, electro house
81,1183,Koala, house
82,1183,Koala, pop dance
83,1183,Koala, progressive electro house
84,1183,Koala, progressive house
85,1183,Koala, tropical house
86,2943,Salt,dance pop
87,2943,Salt, pop
90,954,Honestly, lgbtq+ hip hop
92,3083,Phase, dance pop
93,3083,Phase, pop
94,3083,Phase, post-teen pop
99,3607,Gary Allen,contemporary country
100,3607,Gary Allen, country
101,3607,Gary Allen, country road
102,3607,Gary Allen, country rock
103,3607,Gary Allen, modern country rock
105,3466,Serious, rap
106,2343,Adam Levy,dance pop
107,2343,Adam Levy, pop rap
108,3523,Downtown,dance pop
109,3523,Downtown, pop
110,3523,Downtown, pop rap
