,artist_id,name,popularity_1,genres1,female,male
0,1483,Cornelius,62,['classic soul'],55.7,44.3
1,1215,Acid Rain,62,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']",46.8,53.2
2,1220,Corin Tucker Band,11,[],56.8,43.2
3,1269,Searchlight,43,"['folk-pop', 'modern rock', 'neo mellow', 'pop rock']",54.1,45.9
4,1874,Carousel,72,"['alt z', 'electropop', 'pop']",57.9,42.1
5,2602,Bad Blood,70,['pop'],44.1,55.9
6,1997,North Korea,50,"['emo rap', 'pop rap', 'sad rap']",41.0,59.0
7,2633,Michelle Shocked,8,"['cowpunk', 'gbvfi', 'post-punk']",50.5,49.5
8,2016,Crack,75,"['detroit hip hop', 'hip hop', 'rap']",42.7,57.3
9,3089,Mercy,77,"['chicago rap', 'rap']",42.9,57.1
10,1833,Basic Vacation,0,[],52.1,47.9
11,1061,Legacy,67,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",52.7,47.3
12,2373,Overdrive,76,"['bedroom pop', 'pop']",60.5,39.5
13,737,Official,58,"['canadian pop', 'contemporary r&b', 'dance pop', 'hip pop', 'neo soul', 'quiet storm', 'r&b', 'urban contemporary']",57.5,42.5
14,140,Stigmata,55,"['modern alternative rock', 'modern rock', 'rock']",50.4,49.6
15,2999,20/20,69,"['brooklyn drill', 'melodic rap', 'nyc rap']",40.7,59.3
16,2160,Face Down,78,"['pop punk', 'pop rock', 'screamo']",44.4,55.6
17,3516,She Moves,59,"['brighton indie', 'modern rock', 'rock']",53.1,46.9
18,357,Coward,66,"['adult standards', 'classic country pop', 'country', 'mellow gold', 'nashville sound', 'soft rock']",47.3,52.7
19,66,Brooke Parrott,0,[],41.2,58.8
20,1538,Strange Fruit,61,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'soul', 'torch song', 'vocal jazz']",53.8,46.2
21,1405,Yaphet Kotto,19,"['argentine hip hop', 'lo-fi jazzhop']",48.3,51.7
22,1404,Broken Ones,51,"['edm', 'melodic dubstep', 'pop', 'pop dance', 'tropical house']",41.6,58.4
23,1183,Koala,54,"['dance pop', 'edm', 'electro house', 'future house', 'house', 'pop dance', 'progressive electro house', 'progressive house', 'tropical house']",42.9,57.1
24,2943,Salt,76,"['dance pop', 'pop']",53.3,46.7
25,2493,Tadpole,48,['hyperpop'],52.7,47.3
26,954,Honestly,67,"['emo rap', 'lgbtq+ hip hop']",50.5,49.5
27,3083,Phase,73,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'social media pop']",47.1,52.9
28,2676,Arrogant,72,"['punjabi hip hop', 'punjabi pop']",49.1,50.9
29,3594,Awesome,61,['social media pop'],46.3,53.7
30,3607,Gary Allen,68,"['contemporary country', 'country', 'country road', 'country rock', 'modern country rock']",47.8,52.2
31,3466,Serious,56,"['hawaiian hip hop', 'rap']",45.8,54.2
32,2343,Adam Levy,85,"['dance pop', 'pop rap']",59.7,40.3
33,3523,Downtown,70,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']",43.3,56.7
34,2519,Dearly Beloved,57,['japanese vgm'],59.7,40.3
35,3707,Circa Zero,24,"['dreamo', 'emo', 'philly indie', 'pop punk', 'post-hardcore', 'progressive post-hardcore', 'screamo']",49.3,50.7
36,1717,24/7,67,"['bedroom soul', 'pop']",54.9,45.1
37,2215,The Purge,54,"['conscious hip hop', 'hip hop', 'pop rap', 'rap']",49.3,50.7
38,1157,Oslo,45,"['alternative r&b', 'indie soul']",49.8,50.2
39,1234,Messengers,48,"['ccm', 'christian alternative rock', 'christian hip hop', 'christian music', 'worship']",50.1,49.9
40,1852,Gran Ronde,18,"['classical', 'classical era', 'early romantic era']",50.4,49.6
41,763,The Twilight Hours,31,"['chillwave', 'dream pop', 'metropopolis']",58.0,42.0
42,1201,The Ascension,41,"['ccm', 'christian alternative rock', 'christian indie', 'christian music', 'world worship', 'worship']",46.7,53.3
43,1305,Infinity,96,"['modern rock', 'pop']",53.4,46.6
44,483,Frausdots,6,[],56.0,44.0
45,3755,Arrows,53,"['indie folk', 'vapor soul']",53.5,46.5
46,3387,Blinded,66,"['album rock', 'art rock', 'british blues', 'classic rock', 'hard rock', 'progressive rock', 'symphonic rock']",42.1,57.9
47,3160,Dope Game,53,['alabama rap'],48.9,51.1
48,2620,Little League,65,"['bedroom pop', 'pop']",47.6,52.4
49,2949,Easy,95,"['british soul', 'pop', 'pop soul', 'uk pop']",44.5,55.5
50,2438,Memorials,23,"['electropop', 'vapor pop', 'vapor soul']",54.4,45.6
51,1290,Rewind,66,"['k-pop', 'k-pop girl group']",55.7,44.3
52,2540,Bridges,59,"['art pop', 'auckland indie', 'australian pop', 'electropop', 'etherpop', 'indie pop', 'indie poptimism', 'indietronica', 'metropopolis', 'nz pop', 'pop', 'pop rock', 'shimmer pop', 'tropical house', 'vapor soul']",43.6,56.4
53,526,Viet Cong,26,['blues'],50.6,49.4
54,3341,Charge,69,"['alt z', 'electropop', 'indie pop', 'indie poptimism', 'pop']",59.9,40.1
55,1711,Attila Csihar,7,"['black noise', 'experimental black metal', 'japanese black metal']",48.6,51.4
56,3169,Airwaves,46,"['acoustic pop', 'indie folk', 'neo mellow', 'new americana', 'pop rock', 'stomp and holler']",51.0,49.0
57,2611,Karen Harding,74,"['dance pop', 'deep groove house', 'disco house', 'edm', 'house', 'pop dance', 'tropical house', 'uk dance']",47.2,52.8
58,2580,Bang Bang,82,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",51.1,48.9
59,2932,Clear Static,0,['dance rock'],53.2,46.8
60,1030,Forth,46,"['contemporary r&b', 'dance pop', 'neo soul', 'quiet storm', 'r&b', 'urban contemporary']",58.8,41.2
61,1172,Warning,71,['contemporary country'],41.5,58.5
62,543,Steps,63,['sleep'],47.2,52.8
63,1890,Paul Taylor,49,"['smooth jazz', 'smooth saxophone']",43.2,56.8
64,3373,Gershon Veroba,12,[],48.2,51.8
65,2195,Slam Donahue,12,[],42.9,57.1
66,2052,Anchor,79,"['ambient folk', 'indie folk', 'pop']",57.7,42.3
67,1196,Rebel Yell,77,"['album rock', 'classic rock', 'dance rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'synthpop']",54.0,46.0
68,1407,Cherry Monroe,15,[],54.5,45.5
69,114,Studio,72,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",60.8,39.2
70,1901,Illusion,61,"['boy band', 'pop', 'post-teen pop', 'talent show']",58.0,42.0
71,2144,Celebrity,77,"['dance pop', 'pop']",53.2,46.8
72,211,Arcadia,64,"['art pop', 'pop']",49.2,50.8
73,1455,Countdown,66,"['dance pop', 'pop', 'r&b']",60.4,39.6
74,3024,Warriors,71,"['modern rock', 'rock']",55.2,44.8
75,2963,The Shake,57,"['country', 'country road', 'country rock']",50.0,50.0
76,1684,Azad Right,17,['indie pop rap'],45.0,55.0
77,1872,Undertow,56,"['alternative metal', 'alternative rock', 'art rock', 'nu metal', 'progressive metal', 'progressive rock', 'rock']",44.1,55.9
78,1284,Da Vinci,40,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']",57.5,42.5
79,3563,Indecision,51,"['emo rap', 'miami hip hop']",49.1,50.9
80,3176,Meltdown,43,[],51.2,48.8
81,187,Easy Rider,58,"['alternative hip hop', 'east coast hip hop', 'escape room', 'hip hop', 'nyc rap', 'queens hip hop', 'rap', 'underground hip hop']",51.6,48.4
82,571,Gold Leaves,33,[],51.4,48.6
83,269,Shanghai,60,"['baltimore hip hop', 'drill', 'underground hip hop', 'vapor trap']",60.6,39.4
84,3600,Homicide,77,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",50.2,49.8
85,2104,Reflektor,60,"['alternative dance', 'alternative rock', 'baroque pop', 'canadian indie', 'indie pop', 'indie rock', 'modern rock', 'new rave', 'permanent wave', 'quebec indie', 'rock', 'stomp and holler']",60.6,39.4
86,1296,Armageddon,58,"['album rock', 'glam metal', 'hard rock', 'nwobhm', 'rock']",56.6,43.4
87,3156,120 Days,70,"['dark trap', 'new orleans rap', 'underground hip hop']",59.9,40.1
88,3741,Popstrangers,15,"['nz indie', 'wellington indie']",54.0,46.0
89,65,Emergency Tiara,5,[],51.1,48.9
90,2543,The Golden Dogs,14,"['canadian metal', 'doom metal', 'flute rock', 'gaian doom', 'psychedelic doom', 'retro metal', 'stoner metal', 'stoner rock']",46.7,53.3
91,1748,Crisis,71,"['alt z', 'pop', 'post-teen pop', 'social media pop']",47.3,52.7
92,1518,Chandelier,72,"['australian dance', 'australian pop', 'pop']",41.7,58.3
93,863,Revive,69,['dream smp'],58.9,41.1
94,62,Cole DeGenova,18,[],52.0,48.0
95,2192,Knucklehead,46,[],53.2,46.8
96,3244,Coffee,72,"['indie pop', 'weirdcore']",41.7,58.3
97,1497,D'Angelo and The Vanguard,65,"['alternative r&b', 'funk', 'hip hop', 'indie soul', 'neo soul', 'soul']",59.1,40.9
98,503,Flashlight,66,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",48.0,52.0
99,2759,The Ugly Ducklings,23,"['canadian garage rock', 'canadian psychedelic', 'classic garage rock', 'freakbeat']",57.6,42.4
100,1532,Francisco The Man,19,['la indie'],43.3,56.7
101,1484,True Colors,69,"['canadian contemporary r&b', 'canadian pop', 'pop']",40.5,59.5
102,1781,Rescue,72,"['ccm', 'christian music', 'worship']",60.5,39.5
103,742,criminal hygiene,26,[],60.1,39.9
104,3249,Bipolar,63,"['electropowerpop', 'neon pop punk', 'pop emo', 'pop punk', 'texas pop punk']",47.5,52.5
105,490,theSTART,61,"['austindie', 'indie pop', 'indie rock', 'stomp and holler']",55.0,45.0
106,3159,High Hopes,84,"['modern rock', 'rock']",58.9,41.1
107,1703,Unicorn,52,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",49.8,50.2
108,2165,Bad Things,76,"['ohio hip hop', 'pop rap']",53.0,47.0
109,3609,Misty Miller,12,[],56.8,43.2
110,1739,Jon Wayne,45,[],44.9,55.1
111,2626,Luxury,74,"['dance pop', 'escape room', 'hip house', 'lgbtq+ hip hop', 'pop', 'trap queen']",54.2,45.8
112,2532,Stir,75,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",52.2,47.8
113,1499,Believer,90,"['modern rock', 'rock']",51.3,48.7
114,2565,Venus,68,"['dance pop', 'electropop', 'metropopolis', 'pop', 'uk alternative pop']",54.9,45.1
115,2840,Hold Up,73,"['dance pop', 'pop', 'r&b']",57.9,42.1
116,1505,The Way,84,"['melodic rap', 'philly rap', 'rap', 'trap']",58.7,41.3
117,329,Gypsy,75,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",49.4,50.6
118,1620,Fol Chen,22,['metropopolis'],42.2,57.8
119,416,EDIDION,66,"['bedroom pop', 'pop']",59.4,40.6
120,956,The Envy Corps,18,['iowa indie'],51.3,48.7
121,1922,Bad News,61,[],58.8,41.2
122,291,Wonderland,65,['pop'],40.8,59.2
123,2763,Relapse,58,"['melodic metalcore', 'metalcore']",48.3,51.7
124,170,Headlights,79,"['electro house', 'pop nacional', 'slap house']",50.8,49.2
125,600,Fort Lean,22,['indie psych-pop'],43.5,56.5
