,genre
0,chicago rap
1, conscious hip hop
2, hip hop
3, pop rap
4, rap
5, modern rock
6, neo mellow
7, pop rock
8,alt z
9, electropop
10, pop
11,pop
12, pop rap
13, hip hop
14, rap
15,chicago rap
16, rap
17,atl hip hop
18, hip hop
19, pop rap
20, rap
21, southern hip hop
22, trap
23, pop
24,canadian pop
25, contemporary r&b
26, dance pop
27, hip pop
28, neo soul
29, quiet storm
30, r&b
31, urban contemporary
32,modern alternative rock
33, modern rock
34, rock
35, melodic rap
36, pop rock
37, screamo
38, modern rock
39, rock
40,adult standards
41, country
42, mellow gold
43, soft rock
44,adult standards
45, jazz
46, lounge
47, soul
48, vocal jazz
49,edm
50, pop
51, pop dance
52, tropical house
53,dance pop
54, edm
55, electro house
56, house
57, pop dance
58, progressive electro house
59, progressive house
60, tropical house
61,dance pop
62, pop
63, lgbtq+ hip hop
64, dance pop
65, pop
66, post-teen pop
67,contemporary country
68, country
69, country road
70, country rock
71, modern country rock
72, rap
73,dance pop
74, pop rap
75,dance pop
76, pop
77, pop rap
78, pop punk
79, screamo
80, pop
81,conscious hip hop
82, hip hop
83, pop rap
84, rap
85,alternative r&b
86, indie soul
87,ccm
88, christian alternative rock
89, christian music
90, worship
91,classical
92, dream pop
93, metropopolis
94,ccm
95, christian alternative rock
96, christian music
97, world worship
98, worship
99,modern rock
100, pop
101, vapor soul
102,album rock
103, art rock
104, classic rock
105, hard rock
106, progressive rock
107, symphonic rock
108, pop
109, pop
110, uk pop
111,electropop
112, vapor soul
113,art pop
114, electropop
115, indie pop
116, indie poptimism
117, indietronica
118, metropopolis
119, pop
120, pop rock
121, shimmer pop
122, tropical house
123, vapor soul
124,alt z
125, electropop
126, indie pop
127, indie poptimism
128, pop
129,acoustic pop
130, indie folk
131, neo mellow
132, new americana
133, pop rock
134, stomp and holler
135,dance pop
136, edm
137, house
138, pop dance
139, tropical house
140,dance pop
141, pop
142, pop rap
143, post-teen pop
144,contemporary r&b
145, dance pop
146, neo soul
147, quiet storm
148, r&b
149, urban contemporary
150,contemporary country
151, indie folk
152, pop
153,album rock
154, classic rock
155, dance rock
156, hard rock
157, mellow gold
158, new wave
159, new wave pop
160, rock
161, soft rock
162, hip hop
163, pop rap
164, rap
165, southern hip hop
166, trap
167, underground hip hop
168, pop
169, post-teen pop
170, talent show
171,dance pop
172, pop
173,art pop
174, pop
175,dance pop
176, pop
177, r&b
178,modern rock
179, rock
180,country
181, country road
182, country rock
183,alternative metal
184, alternative rock
185, art rock
186, nu metal
187, progressive rock
188, rock
189,alternative rock
190, modern rock
191, permanent wave
192, rock
193, miami hip hop
194,alternative hip hop
195, east coast hip hop
196, escape room
197, hip hop
198, rap
199, underground hip hop
200, underground hip hop
201,conscious hip hop
202, hip hop
203, pop rap
204, rap
205,alternative dance
206, alternative rock
207, indie pop
208, indie rock
209, modern rock
210, new rave
